L1_algorithm,L2_algorithm,wr_pol,cost,latency,workload,tot_req,reads,writes,requests
arc,arc,wb-et,272.8326331,0.187992294,w25,3640951,88.63,11.37,16.0
lru,lru,wb-et,1072.041162,0.792519199,w54,7042906,78.49,21.51,58.1
arc,arc,wb-et,309.5090596,0.161919232,w25,3640951,88.63,11.37,16.0
lru,lru,wb-et,25.77201169,0.198030115,w11,4531948,65.3,34.7,0.98
lru,lru,wb-et,67.58947926,0.427279209,w29,524248,81.32,18.68,23.58
lru,lru,wb-et,2.565383177,0.293137537,w102,117154,6.73,93.27,9.19
arc,arc,wb-et,59.32967051,0.22648176,w07,2120047,82.25,17.75,16.44
arc,arc,wb-et,2.051938097,0.371753673,w106,139141,19.98,80.02,7.58
arc,arc,wb-et,2.184606844,0.149112946,w51,761128,86.39,13.61,6.71
arc,arc,wb-et,69.7865621,0.80602187,w65,981095,96.09,3.91,13.97
lru,lru,wb-et,32.61410098,0.511438349,w89,125386,40.17,59.83,25.65
arc,arc,wb-et,4.320954579,0.296312781,w30,704212,2.26,97.74,6.82
lru,lru,wb-et,1391.503912,0.176583178,w05,13225814,90.41,9.59,15.37
arc,arc,wb-et,327.739825,0.293253525,w13,3543451,59.2,40.8,13.63
arc,arc,wb-et,3.623771008,0.033530948,w82,279678,56.89,43.11,0.92
lru,lru,wb-et,68.94745568,0.258502555,w93,351236,87.72,12.28,19.28
lru,lru,wb-et,29.01076934,0.864088334,w85,405302,97.4,2.6,14.13
arc,arc,wb-et,44.89248877,0.553507317,w50,768251,94.99,5.01,13.52
lru,lru,wb-et,45.63315451,0.754455995,w105,243780,89.94,10.06,17.41
lru,lru,wb-et,58.0752157,0.15594525,w51,761128,86.39,13.61,6.71
arc,arc,wb-et,296.6093468,0.639820369,w46,5116665,25.78,74.22,21.84
lru,lru,wb-et,36.82757633,0.648211948,w62,292110,89.7,10.3,33.27
lru,lru,wb-et,22.25908719,0.42316805,w91,217746,80.61,19.39,18.42
lru,lru,wb-et,17.98507563,0.081468583,w36,729562,1.4,98.6,2.11
lru,lru,wb-et,68.08491887,0.123142217,w94,1057811,94.75,5.25,6.06
lru,lru,wb-et,2.984870068,0.711600079,w59,324961,49.4,50.6,6.97
lru,lru,wb-et,82.65749621,0.516716809,w37,493523,77.83,22.17,28.23
lru,lru,wb-et,17.22087592,0.731537458,w93,351236,87.72,12.28,19.28
lru,lru,wb-et,13.24296891,0.076452914,w36,729562,1.4,98.6,2.11
lru,lru,wb-et,56.28572389,0.103194687,w25,3640951,88.63,11.37,16.0
lru,lru,wb-et,70.58832323,0.50678388,w18,896239,80.64,19.36,14.81
lru,lru,wb-et,3.071817384,0.521413348,w87,264130,40.78,59.22,30.24
arc,arc,wb-et,155.8536095,0.803416656,w104,235503,83.15,16.85,50.98
lru,lru,wb-et,2.330969877,0.258394154,w47,211877,0.33,99.67,1.68
lru,lru,wb-et,95.47051965,0.563812791,w87,264130,40.78,59.22,30.24
arc,arc,wb-et,415.3062832,0.675509725,w08,10410827,96.53,3.47,9.07
lru,lru,wb-et,1.294433833,0.248626797,w84,420458,10.24,89.76,7.95
arc,arc,wb-et,6.344548403,0.41758119,w76,124550,12.84,87.16,13.22
lru,lru,wb-et,7.166349375,0.371468405,w103,94016,35.38,64.62,16.53
arc,arc,wb-et,49.55874682,0.734899897,w43,1390682,50.63,49.37,11.06
arc,arc,wb-et,154.9009626,0.199869467,w25,3640951,88.63,11.37,16.0
lru,lru,wb-et,830.8284954,0.713340023,w21,6771666,97.59,2.41,9.5
lru,lru,wb-et,4.623930116,0.336484002,w67,167197,36.15,63.85,5.03
lru,lru,wb-et,3.180602317,0.23882959,w45,211432,0.59,99.41,1.9
lru,lru,wb-et,21.60606472,0.425728263,w91,217746,80.61,19.39,18.42
arc,arc,wb-et,51.51521309,0.494263829,w32,773840,88.8,11.2,17.19
arc,arc,wb-et,21.96094596,0.255546087,w30,704212,2.26,97.74,6.82
